date,SWISS PERFORMANCE INDEX - TOT RETURN IND
2000-10-11,5375.42
2000-10-12,5393.8
2000-10-13,5354
2000-10-16,5316.58
2000-10-17,5339.68
2000-10-18,5335.09
2000-10-19,5422.95
2000-10-20,5404.64
2000-10-23,5433.57
2000-10-24,5503.16
2000-10-25,5479.88
2000-10-26,5492.22
2000-10-27,5509.27
2000-10-30,5554.52
2000-10-31,5572.9
2000-11-01,5575.75
2000-11-02,5644.83
2000-11-03,5631.9
2000-11-06,5676.82
2000-11-07,5673.29
2000-11-08,5658.69
2000-11-09,5604.36
2000-11-10,5609.89
2000-11-13,5565.27
2000-11-14,5642.47
2000-11-15,5639.04
2000-11-16,5656.32
2000-11-17,5657.66
2000-11-20,5657.99
2000-11-21,5669.53
2000-11-22,5581.55
2000-11-23,5596.16
2000-11-24,5614.67
2000-11-27,5656.8
2000-11-28,5613.82
2000-11-29,5597.2
2000-11-30,5533.21
2000-12-01,5578.25
2000-12-04,5550.89
2000-12-05,5643.81
2000-12-06,5604.16
2000-12-07,5550.57
2000-12-08,5538.44
2000-12-11,5565.46
2000-12-12,5549.24
2000-12-13,5563.85
2000-12-14,5495.63
2000-12-15,5449.22
2000-12-18,5511.11
2000-12-19,5563.39
2000-12-20,5508.82
2000-12-21,5468.73
2000-12-22,5501.27
2000-12-25,5501.27
2000-12-26,5501.27
2000-12-27,5573.72
2000-12-28,5627.97
2000-12-29,5621.13
2001-01-01,5621.13
2001-01-02,5621.13
2001-01-03,5601.76
2001-01-04,5603.67
2001-01-05,5521.97
2001-01-08,5515.63
2001-01-09,5498.51
2001-01-10,5441.81
2001-01-11,5449.7
2001-01-12,5441.12
2001-01-15,5449.11
2001-01-16,5451.59
2001-01-17,5518.18
2001-01-18,5497.86
2001-01-19,5454.57
2001-01-22,5460.57
2001-01-23,5459.08
2001-01-24,5494.03
2001-01-25,5521.47
2001-01-26,5556.39
2001-01-29,5552.43
2001-01-30,5555.57
2001-01-31,5564.09
2001-02-01,5514.2
2001-02-02,5532.75
2001-02-05,5560.94
2001-02-06,5573.41
2001-02-07,5550.43
2001-02-08,5500.61
2001-02-09,5484.39
2001-02-12,5469.39
2001-02-13,5478.01
2001-02-14,5418.7
2001-02-15,5451.38
2001-02-16,5378.92
2001-02-19,5382.7
2001-02-20,5348.08
2001-02-21,5303.6
2001-02-22,5306.62
2001-02-23,5269.82
2001-02-26,5307.33
2001-02-27,5316.48
2001-02-28,5320.82
2001-03-01,5219.54
2001-03-02,5200.62
2001-03-05,5227.55
2001-03-06,5254.32
2001-03-07,5254.34
2001-03-08,5230.57
2001-03-09,5205.61
2001-03-12,5116.27
2001-03-13,5101.77
2001-03-14,4998.09
2001-03-15,5024.82
2001-03-16,4917.09
2001-03-19,4867.8
2001-03-20,4889.7
2001-03-21,4815.02
2001-03-22,4565.45
2001-03-23,4666.13
2001-03-26,4829.85
2001-03-27,4850.35
2001-03-28,4829.04
2001-03-29,4869.65
2001-03-30,4952.28
2001-04-02,4867.53
2001-04-03,4761.82
2001-04-04,4727.87
2001-04-05,4829.64
2001-04-06,4817.94
2001-04-09,4885.97
2001-04-10,4950.8
2001-04-11,5002.75
2001-04-12,5007.11
2001-04-13,5007.11
2001-04-16,5007.11
2001-04-17,5007.6
2001-04-18,5071.74
2001-04-19,5046.85
2001-04-20,5011.22
2001-04-23,4966.92
2001-04-24,5022.58
2001-04-25,4983.58
2001-04-26,4981.73
2001-04-27,5009.7
2001-04-30,5064.11
2001-05-01,5064.11
2001-05-02,5098.16
2001-05-03,5056.15
2001-05-04,5093.64
2001-05-07,5160
2001-05-08,5147.83
2001-05-09,5110.6
2001-05-10,5181.75
2001-05-11,5201.94
2001-05-14,5170.86
2001-05-15,5215.25
2001-05-16,5224.59
2001-05-17,5272.37
2001-05-18,5283.52
2001-05-21,5294.5
2001-05-22,5315.83
2001-05-23,5317.2
2001-05-24,5317.2
2001-05-25,5296.73
2001-05-28,5289.08
2001-05-29,5258.14
2001-05-30,5222.72
2001-05-31,5183.45
2001-06-01,5206.79
2001-06-04,5206.79
2001-06-05,5247.32
2001-06-06,5246.05
2001-06-07,5251.39
2001-06-08,5227.55
2001-06-11,5196.28
2001-06-12,5133.83
2001-06-13,5179.67
2001-06-14,5114.34
2001-06-15,5084.82
2001-06-18,5071.58
2001-06-19,5039.58
2001-06-20,4996.01
2001-06-21,4997.48
2001-06-22,4957.15
2001-06-25,4961.49
2001-06-26,4898.93
2001-06-27,4852.99
2001-06-28,4950.23
2001-06-29,5006.54
2001-07-02,5048.65
2001-07-03,5003.83
2001-07-04,4964.46
2001-07-05,4924.6
2001-07-06,4837.37
2001-07-09,4839.4
2001-07-10,4783.56
2001-07-11,4726.98
2001-07-12,4799.65
2001-07-13,4804.87
2001-07-16,4800.84
2001-07-17,4775.05
2001-07-18,4750.25
2001-07-19,4833.85
2001-07-20,4793.13
2001-07-23,4790.88
2001-07-24,4691.64
2001-07-25,4628.45
2001-07-26,4635.32
2001-07-27,4681.22
2001-07-30,4713.57
2001-07-31,4732.71
2001-08-01,4775.11
2001-08-02,4792.86
2001-08-03,4755.23
2001-08-06,4765.61
2001-08-07,4761.26
2001-08-08,4749.08
2001-08-09,4654.38
2001-08-10,4594.87
2001-08-13,4645.73
2001-08-14,4712.31
2001-08-15,4686.85
2001-08-16,4644.94
2001-08-17,4610.48
2001-08-20,4585.22
2001-08-21,4643.99
2001-08-22,4599.42
2001-08-23,4574.22
2001-08-24,4633.31
2001-08-27,4663.22
2001-08-28,4599.5
2001-08-29,4545.41
2001-08-30,4511.31
2001-08-31,4540.71
2001-09-03,4458.2
2001-09-04,4519.43
2001-09-05,4482.96
2001-09-06,4410.84
2001-09-07,4323.05
2001-09-10,4238.06
2001-09-11,3955.34
2001-09-12,4042.86
2001-09-13,4080.07
2001-09-14,3903.15
2001-09-17,4004.5
2001-09-18,3956.96
2001-09-19,3908.69
2001-09-20,3735.14
2001-09-21,3546.6
2001-09-24,3754.35
2001-09-25,3858.78
2001-09-26,3920.27
2001-09-27,3968.87
2001-09-28,4085.51
2001-10-01,4032.03
2001-10-02,4021.86
2001-10-03,3985.58
2001-10-04,4086.64
2001-10-05,4049.18
2001-10-08,4047.75
2001-10-09,4037.5
2001-10-10,4064.84
2001-10-11,4151.23
2001-10-12,4110.68
2001-10-15,4082.97
2001-10-16,4082.64
2001-10-17,4106.45
2001-10-18,4144.81
2001-10-19,4129.11
2001-10-22,4197.46
2001-10-23,4263.71
2001-10-24,4267.62
2001-10-25,4213.23
2001-10-26,4253.84
2001-10-29,4176.38
2001-10-30,4089.15
2001-10-31,4137.99
2001-11-01,4149.82
2001-11-02,4163.7
2001-11-05,4226.83
2001-11-06,4234.34
2001-11-07,4244.37
2001-11-08,4339.98
2001-11-09,4307.15
2001-11-12,4236.68
2001-11-13,4336.97
2001-11-14,4363.2
2001-11-15,4447.49
2001-11-16,4464.2
2001-11-19,4496.3
2001-11-20,4417.91
2001-11-21,4424.67
2001-11-22,4451.8
2001-11-23,4399
2001-11-26,4406.64
2001-11-27,4367.96
2001-11-28,4289.9
2001-11-29,4296.55
2001-11-30,4260.27
2001-12-03,4259.32
2001-12-04,4346.82
2001-12-05,4409.71
2001-12-06,4407.06
2001-12-07,4398.69
2001-12-10,4340.72
2001-12-11,4324.06
2001-12-12,4315.98
2001-12-13,4273.2
2001-12-14,4228.23
2001-12-17,4302.98
2001-12-18,4282.94
2001-12-19,4231.51
2001-12-20,4296.84
2001-12-21,4340.79
2001-12-24,4340.79
2001-12-25,4340.79
2001-12-26,4340.79
2001-12-27,4374.9
2001-12-28,4382.94
2001-12-31,4382.94
2002-01-01,4382.94
2002-01-02,4351.45
2002-01-03,4359.12
2002-01-04,4372.28
2002-01-07,4368.06
2002-01-08,4321.85
2002-01-09,4354.48
2002-01-10,4355.44
2002-01-11,4389.29
2002-01-14,4311.61
2002-01-15,4305.72
2002-01-16,4269.13
2002-01-17,4319.58
2002-01-18,4303.57
2002-01-21,4263.81
2002-01-22,4284.46
2002-01-23,4313.52
2002-01-24,4364.93
2002-01-25,4351.95
2002-01-28,4378.1
2002-01-29,4319.18
2002-01-30,4246.22
2002-01-31,4265.15
2002-02-01,4261.93
2002-02-04,4237.35
2002-02-05,4194.14
2002-02-06,4175.97
2002-02-07,4251.3
2002-02-08,4262.79
2002-02-11,4286.25
2002-02-12,4270.03
2002-02-13,4322.32
2002-02-14,4377.77
2002-02-15,4374.97
2002-02-18,4350.83
2002-02-19,4247.13
2002-02-20,4232.31
2002-02-21,4253.44
2002-02-22,4224.52
2002-02-25,4255.18
2002-02-26,4240.05
2002-02-27,4310.91
2002-02-28,4332.86
2002-03-01,4332.68
2002-03-04,4393.54
2002-03-05,4376.22
2002-03-06,4380.48
2002-03-07,4399.7
2002-03-08,4460.83
2002-03-11,4438.62
2002-03-12,4410.21
2002-03-13,4437.94
2002-03-14,4468.83
2002-03-15,4485.27
2002-03-18,4518.81
2002-03-19,4524.13
2002-03-20,4513.65
2002-03-21,4506.75
2002-03-22,4519.69
2002-03-25,4515.98
2002-03-26,4537.96
2002-03-27,4545.63
2002-03-28,4561.61
2002-03-29,4561.61
2002-04-01,4561.61
2002-04-02,4573.11
2002-04-03,4591.52
2002-04-04,4575.79
2002-04-05,4572.06
2002-04-08,4521.36
2002-04-09,4556.94
2002-04-10,4580.77
2002-04-11,4527.6
2002-04-12,4522.59
2002-04-15,4536.31
2002-04-16,4578.03
2002-04-17,4601.89
2002-04-18,4599.26
2002-04-19,4597.1
2002-04-22,4600.12
2002-04-23,4594.98
2002-04-24,4598.15
2002-04-25,4541.01
2002-04-26,4503.45
2002-04-29,4525.27
2002-04-30,4519.16
2002-05-01,4519.16
2002-05-02,4515.65
2002-05-03,4544.63
2002-05-06,4529.34
2002-05-07,4466.67
2002-05-08,4540.36
2002-05-09,4542.65
2002-05-10,4508.76
2002-05-13,4529.52
2002-05-14,4566.84
2002-05-15,4599.06
2002-05-16,4615.13
2002-05-17,4586.9
2002-05-20,4564.49
2002-05-21,4575.14
2002-05-22,4553.35
2002-05-23,4536.18
2002-05-24,4543.34
2002-05-27,4565.67
2002-05-28,4550.01
2002-05-29,4559.23
2002-05-30,4523.85
2002-05-31,4546.05
2002-06-03,4529.68
2002-06-04,4442.31
2002-06-05,4436.43
2002-06-06,4411.94
2002-06-07,4335.71
2002-06-10,4347.46
2002-06-11,4389.8
2002-06-12,4264.96
2002-06-13,4205.63
2002-06-14,4153.43
2002-06-17,4269.49
2002-06-18,4213.68
2002-06-19,4148.48
2002-06-20,4023.65
2002-06-21,4030.79
2002-06-24,3902.35
2002-06-25,4023.73
2002-06-26,3919.18
2002-06-27,3979.29
2002-06-28,4146.93
2002-07-01,4146.72
2002-07-02,4063.18
2002-07-03,3963.86
2002-07-04,4053.61
2002-07-05,4169.92
2002-07-08,4170.08
2002-07-09,4147.14
2002-07-10,4023.31
2002-07-11,3867.54
2002-07-12,3911.01
2002-07-15,3746.08
2002-07-16,3658.2
2002-07-17,3706.01
2002-07-18,3689.69
2002-07-19,3498.09
2002-07-22,3314.62
2002-07-23,3262.26
2002-07-24,3234.84
2002-07-25,3427.53
2002-07-26,3503.19
2002-07-29,3664.06
2002-07-30,3632.58
2002-07-31,3623.48
2002-08-01,3559.72
2002-08-02,3522.24
2002-08-05,3395.24
2002-08-06,3569.3
2002-08-07,3523.49
2002-08-08,3646.47
2002-08-09,3689.19
2002-08-12,3636.94
2002-08-13,3687.37
2002-08-14,3662.49
2002-08-15,3766.81
2002-08-16,3754.47
2002-08-19,3842.09
2002-08-20,3742.47
2002-08-21,3811.47
2002-08-22,3833.42
2002-08-23,3824.2
2002-08-26,3782.08
2002-08-27,3823.61
2002-08-28,3678.62
2002-08-29,3586.7
2002-08-30,3652.39
2002-09-02,3562.88
2002-09-03,3446.33
2002-09-04,3470.97
2002-09-05,3465.93
2002-09-06,3559.01
2002-09-09,3511.75
2002-09-10,3571.13
2002-09-11,3652.77
2002-09-12,3542.09
2002-09-13,3460.38
2002-09-16,3460.31
2002-09-17,3429.34
2002-09-18,3363.21
2002-09-19,3305.07
2002-09-20,3309.07
2002-09-23,3193.19
2002-09-24,3190.1
2002-09-25,3243.34
2002-09-26,3406.91
2002-09-27,3415.4
2002-09-30,3336.21
2002-10-01,3292.04
2002-10-02,3372.69
2002-10-03,3332.14
2002-10-04,3258.46
2002-10-07,3183.83
2002-10-08,3138.05
2002-10-09,3095.92
2002-10-10,3153.42
2002-10-11,3310.08
2002-10-14,3281.04
2002-10-15,3461.79
2002-10-16,3416.55
2002-10-17,3464.51
2002-10-18,3452.97
2002-10-21,3420.19
2002-10-22,3395.74
2002-10-23,3322.09
2002-10-24,3407.36
2002-10-25,3433.97
2002-10-28,3411.14
2002-10-29,3312.07
2002-10-30,3401.27
2002-10-31,3442.53
2002-11-01,3406.67
2002-11-04,3494.5
2002-11-05,3502.28
2002-11-06,3486.49
2002-11-07,3415.46
2002-11-08,3380.12
2002-11-11,3343.83
2002-11-12,3385.19
2002-11-13,3368.72
2002-11-14,3443.95
2002-11-15,3498.54
2002-11-18,3501.09
2002-11-19,3478.95
2002-11-20,3498.26
2002-11-21,3565.01
2002-11-22,3584.02
2002-11-25,3579.13
2002-11-26,3539.76
2002-11-27,3599
2002-11-28,3580.1
2002-11-29,3561.69
2002-12-02,3585.52
2002-12-03,3490.59
2002-12-04,3491.15
2002-12-05,3451.89
2002-12-06,3438.78
2002-12-09,3392.6
2002-12-10,3422.18
2002-12-11,3423.98
2002-12-12,3407.57
2002-12-13,3385.86
2002-12-16,3442.48
2002-12-17,3418.85
2002-12-18,3356.58
2002-12-19,3341.09
2002-12-20,3337.77
2002-12-23,3309.28
2002-12-24,3309.28
2002-12-25,3309.28
2002-12-26,3309.28
2002-12-27,3209.09
2002-12-30,3245.5
2002-12-31,3245.5
2003-01-01,3245.5
2003-01-02,3245.5
2003-01-03,3417.43
2003-01-06,3430.28
2003-01-07,3411.9
2003-01-08,3405.45
2003-01-09,3389.64
2003-01-10,3389.29
2003-01-13,3410.45
2003-01-14,3459.71
2003-01-15,3391.01
2003-01-16,3370.79
2003-01-17,3321.32
2003-01-20,3272.52
2003-01-21,3255.16
2003-01-22,3170.01
2003-01-23,3170.21
2003-01-24,3136.77
2003-01-27,3027.03
2003-01-28,3015.55
2003-01-29,3029.9
2003-01-30,3081.59
2003-01-31,3089.68
2003-02-03,3123.71
2003-02-04,3048.78
2003-02-05,3066.13
2003-02-06,2984.36
2003-02-07,2960.73
2003-02-10,2918.45
2003-02-11,2982.91
2003-02-12,2915.64
2003-02-13,2918.01
2003-02-14,2990.05
2003-02-17,3056.94
2003-02-18,3025.16
2003-02-19,2951.85
2003-02-20,2954.85
2003-02-21,2963.78
2003-02-24,2931.68
2003-02-25,2873.4
2003-02-26,2845.39
2003-02-27,2861.25
2003-02-28,2907.11
2003-03-03,2933.19
2003-03-04,2839.85
2003-03-05,2785.79
2003-03-06,2781.45
2003-03-07,2741.9
2003-03-10,2643.19
2003-03-11,2632.91
2003-03-12,2603.37
2003-03-13,2679.89
2003-03-14,2825.76
2003-03-17,2900.74
2003-03-18,2926.65
2003-03-19,2993.01
2003-03-20,3010.09
2003-03-21,3121.09
2003-03-24,2974.94
2003-03-25,2996.06
2003-03-26,2987.57
2003-03-27,2951.78
2003-03-28,2962.41
2003-03-31,2882.43
2003-04-01,2914.6
2003-04-02,3005.82
2003-04-03,3042.55
2003-04-04,3087.52
2003-04-07,3159.86
2003-04-08,3142.15
2003-04-09,3164.46
2003-04-10,3099.26
2003-04-11,3149.41
2003-04-14,3178.3
2003-04-15,3252.02
2003-04-16,3222.17
2003-04-17,3214.39
2003-04-18,3214.39
2003-04-21,3214.39
2003-04-22,3220.2
2003-04-23,3261.43
2003-04-24,3215.22
2003-04-25,3187.02
2003-04-28,3242.31
2003-04-29,3212.84
2003-04-30,3235.31
2003-05-01,3235.31
2003-05-02,3220.02
2003-05-05,3265.39
2003-05-06,3304.84
2003-05-07,3297.21
2003-05-08,3223.82
2003-05-09,3218.21
2003-05-12,3198.13
2003-05-13,3237.22
2003-05-14,3244.52
2003-05-15,3256.68
2003-05-16,3276.1
2003-05-19,3209.08
2003-05-20,3227.65
2003-05-21,3184.84
2003-05-22,3263.69
2003-05-23,3269.11
2003-05-26,3245.1
2003-05-27,3263.14
2003-05-28,3329.62
2003-05-29,3329.62
2003-05-30,3310.52
2003-06-02,3393.3
2003-06-03,3365.93
2003-06-04,3389.89
2003-06-05,3363.3
2003-06-06,3419.33
2003-06-09,3419.33
2003-06-10,3421.17
2003-06-11,3458.46
2003-06-12,3484.5
2003-06-13,3427.04
2003-06-16,3495.65
2003-06-17,3529.01
2003-06-18,3556.37
2003-06-19,3506.64
2003-06-20,3517.26
2003-06-23,3443.99
2003-06-24,3443.64
2003-06-25,3445.79
2003-06-26,3456.46
2003-06-27,3459.41
2003-06-30,3437.73
2003-07-01,3361.85
2003-07-02,3421.82
2003-07-03,3444.6
2003-07-04,3446.07
2003-07-07,3517.45
2003-07-08,3505.59
2003-07-09,3473.19
2003-07-10,3466.8
2003-07-11,3503.65
2003-07-14,3550.97
2003-07-15,3535.93
2003-07-16,3525.45
2003-07-17,3501.89
2003-07-18,3504.59
2003-07-21,3484.06
2003-07-22,3479.71
2003-07-23,3499.48
2003-07-24,3545.35
2003-07-25,3529.94
2003-07-28,3570.05
2003-07-29,3562.27
2003-07-30,3596.62
2003-07-31,3620.38
2003-08-01,3599.7
2003-08-04,3563.67
2003-08-05,3601.93
2003-08-06,3568.38
2003-08-07,3560.43
2003-08-08,3575.15
2003-08-11,3573.29
2003-08-12,3604.75
2003-08-13,3596.36
2003-08-14,3625.19
2003-08-15,3668.65
2003-08-18,3688.91
2003-08-19,3703.86
2003-08-20,3683.2
2003-08-21,3721.07
2003-08-22,3751.83
2003-08-25,3699.88
2003-08-26,3688.65
2003-08-27,3706.28
2003-08-28,3723.14
2003-08-29,3674.7
2003-09-01,3739.17
2003-09-02,3719.1
2003-09-03,3792.97
2003-09-04,3797.81
2003-09-05,3805.07
2003-09-08,3822.53
2003-09-09,3798.6
2003-09-10,3801.71
2003-09-11,3805.35
2003-09-12,3801.65
2003-09-15,3818
2003-09-16,3846.31
2003-09-17,3866.93
2003-09-18,3884.34
2003-09-19,3855.39
2003-09-22,3773.24
2003-09-23,3740.99
2003-09-24,3754.68
2003-09-25,3704.43
2003-09-26,3684.26
2003-09-29,3667.42
2003-09-30,3626.43
2003-10-01,3636.46
2003-10-02,3651.95
2003-10-03,3737.14
2003-10-06,3710.3
2003-10-07,3687.1
2003-10-08,3704.51
2003-10-09,3753
2003-10-10,3746.25
2003-10-13,3793.67
2003-10-14,3782.46
2003-10-15,3790.74
2003-10-16,3791.73
2003-10-17,3783.72
2003-10-20,3796.41
2003-10-21,3789.27
2003-10-22,3735.61
2003-10-23,3698.2
2003-10-24,3700.2
2003-10-27,3724.15
2003-10-28,3746
2003-10-29,3743.17
2003-10-30,3775.43
2003-10-31,3769.49
2003-11-03,3842.24
2003-11-04,3798.32
2003-11-05,3764.87
2003-11-06,3787.63
2003-11-07,3835.56
2003-11-10,3796.61
2003-11-11,3806.77
2003-11-12,3812.19
2003-11-13,3848.76
2003-11-14,3877.43
2003-11-17,3809.14
2003-11-18,3793.31
2003-11-19,3753.8
2003-11-20,3756.13
2003-11-21,3761.22
2003-11-24,3826.36
2003-11-25,3831.88
2003-11-26,3824.9
2003-11-27,3841.26
2003-11-28,3842.74
2003-12-01,3881.74
2003-12-02,3883.42
2003-12-03,3924.52
2003-12-04,3919.51
2003-12-05,3876.77
2003-12-08,3871.87
2003-12-09,3891
2003-12-10,3856.74
2003-12-11,3895.47
2003-12-12,3892.75
2003-12-15,3912.77
2003-12-16,3883.9
2003-12-17,3867.08
2003-12-18,3908.26
2003-12-19,3907.72
2003-12-22,3892.85
2003-12-23,3911.68
2003-12-24,3911.68
2003-12-25,3911.68
2003-12-26,3911.68
2003-12-29,3931.16
2003-12-30,3961.58
2003-12-31,3961.58
2004-01-01,3961.58
2004-01-02,3961.58
2004-01-05,4029.01
2004-01-06,4037.99
2004-01-07,4028.7
2004-01-08,4046.58
2004-01-09,4025.16
2004-01-12,3981.89
2004-01-13,4016.71
2004-01-14,4062.66
2004-01-15,4068.69
2004-01-16,4115.32
2004-01-19,4118.96
2004-01-20,4096.94
2004-01-21,4109.15
2004-01-22,4136.19
2004-01-23,4166.34
2004-01-26,4157.66
2004-01-27,4185.99
2004-01-28,4195.42
2004-01-29,4170.22
2004-01-30,4152.32
2004-02-02,4188.92
2004-02-03,4154.36
2004-02-04,4180.25
2004-02-05,4169.78
2004-02-06,4209.26
2004-02-09,4251.55
2004-02-10,4257.65
2004-02-11,4259.92
2004-02-12,4238.07
2004-02-13,4240.62
2004-02-16,4248.11
2004-02-17,4256.46
2004-02-18,4228.44
2004-02-19,4259.29
2004-02-20,4246.92
2004-02-23,4264.25
2004-02-24,4210.47
2004-02-25,4214.07
2004-02-26,4205.94
2004-02-27,4221.28
2004-03-01,4246.29
2004-03-02,4291.7
2004-03-03,4277.22
2004-03-04,4319.43
2004-03-05,4294.96
2004-03-08,4288.98
2004-03-09,4268.56
2004-03-10,4278.35
2004-03-11,4158.04
2004-03-12,4154.04
2004-03-15,4096.41
2004-03-16,4112.84
2004-03-17,4143.35
2004-03-18,4087.59
2004-03-19,4095.49
2004-03-22,3987.98
2004-03-23,4015.52
2004-03-24,4011.59
2004-03-25,4075.05
2004-03-26,4073.54
2004-03-29,4111.39
2004-03-30,4097.9
2004-03-31,4098.04
2004-04-01,4164.45
2004-04-02,4211.32
2004-04-05,4232.99
2004-04-06,4201.26
2004-04-07,4205.17
2004-04-08,4228.65
2004-04-09,4228.65
2004-04-12,4228.65
2004-04-13,4236.17
2004-04-14,4205.2
2004-04-15,4222.29
2004-04-16,4229.89
2004-04-19,4241.58
2004-04-20,4270.48
2004-04-21,4245.77
2004-04-22,4247.55
2004-04-23,4270.56
2004-04-26,4314.27
2004-04-27,4306.19
2004-04-28,4269.66
2004-04-29,4258.51
2004-04-30,4252.39
2004-05-03,4281.06
2004-05-04,4288.54
2004-05-05,4331.23
2004-05-06,4291.26
2004-05-07,4286.81
2004-05-10,4154.51
2004-05-11,4208.9
2004-05-12,4159.72
2004-05-13,4206.25
2004-05-14,4188.24
2004-05-17,4132.97
2004-05-18,4155.04
2004-05-19,4208.25
2004-05-20,4208.25
2004-05-21,4166.82
2004-05-24,4193.32
2004-05-25,4170.16
2004-05-26,4189.37
2004-05-27,4213.32
2004-05-28,4161.31
2004-05-31,4161.31
2004-06-01,4134.03
2004-06-02,4163.85
2004-06-03,4184.87
2004-06-04,4206.96
2004-06-07,4246.96
2004-06-08,4240.75
2004-06-09,4229.63
2004-06-10,4206.06
2004-06-11,4213.27
2004-06-14,4174.41
2004-06-15,4199.61
